Name,Version,License,URL
tomlkit,0.14.0,MIT License,https://github.com/sdispater/tomlkit
toolz,1.1.0,BSD-3-Clause,https://github.com/pytoolz/toolz
torch,2.11.0a0+git70d99e9,BSD-3-Clause,https://pytorch.org
torch_harmonics,0.8.0,BSD License,https://pypi.org/project/torch-harmonics/0.8.0/
torchmetrics,1.9.0,Apache Software License,https://github.com/Lightning-AI/torchmetrics
torchvision,0.26.0,BSD,https://github.com/pytorch/vision
tornado,6.5.5,Apache Software License,http://www.tornadoweb.org/
tqdm,4.67.3,MPL-2.0 AND MIT,https://tqdm.github.io
traitlets,5.14.3,BSD License,https://github.com/ipython/traitlets
transformer_engine,2.12.0+bd89e94f,Apache-2.0,https://pypi.org/project/transformer-engine/2.12.0+bd89e94f/
treelib,1.8.0,Apache Software License,https://github.com/caesar0301/treelib
triton,3.6.0,MIT License,https://github.com/triton-lang/triton/
typer,0.24.1,MIT,https://github.com/fastapi/typer
typing-inspection,0.4.2,MIT,https://github.com/pydantic/typing-inspection
typing_extensions,4.15.0,PSF-2.0,https://github.com/python/typing_extensions
tzdata,2025.3,Apache-2.0,https://github.com/python/tzdata
urllib3,2.6.3,MIT,https://github.com/urllib3/urllib3/blob/main/CHANGES.rst
uvicorn,0.42.0,BSD-3-Clause,https://uvicorn.dev/
wandb,0.25.1,MIT License,https://github.com/wandb/wandb
wcmatch,10.1,MIT,https://github.com/facelessuser/wcmatch
websockets,16.0,BSD-3-Clause,https://github.com/python-websockets/websockets
wrapt,2.1.2,BSD-2-Clause,https://github.com/GrahamDumpleton/wrapt
xarray,2026.2.0,Apache-2.0,https://xarray.dev/
xattr,1.3.0,MIT,https://github.com/xattr/xattr
xyzservices,2026.3.0,BSD-3-Clause,https://github.com/geopandas/xyzservices
yarl,1.23.0,Apache-2.0,https://github.com/aio-libs/yarl
zarr,3.1.6,MIT,https://github.com/zarr-developers/zarr-python
zict,3.0.0,BSD License,http://zict.readthedocs.io/en/latest/
zipp,3.23.0,MIT,https://github.com/jaraco/zipp
